doc	label_net
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_0	EXPLORATION
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_1	OTHER
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_2	OTHER
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_3	OTHER
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_4	OTHER
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_5	DANGER
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_6	OTHER
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_7	OTHER
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_8	EXPLORATION
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_9	EXPLORATION
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_10	OTHER
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_11	OTHER
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_12	OTHER
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_13	OTHER
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_14	EXPLORATION
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_15	OTHER
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_16	OTHER
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_17	OTHER
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_18	OTHER
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_19	OTHER
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_20	OTHER
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_21	OTHER
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_22	OTHER
